Elo	Username	W	L	T	Last update
1045	yomoves	1	0	0	Wed Sep 06 2023 18:32:53 GMT-0500 (Central Daylight Time)
1000	HylianMedia	0	1	0	Wed Sep 06 2023 18:32:53 GMT-0500 (Central Daylight Time)
